symbol,sector
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Construction
NCC,Construction
NHPC,Power
NLCINDIA,Power
NMDC,Metals & Mining
NTPCGREEN,Power
NTPC,Power
NATIONALUM,Metals & Mining
NAVA,Power
NESTLEIND,Fast Moving Consumer Goods
NETWEB,Information Technology
NEWGEN,Information Technology
NAM-INDIA,Financial Services
NIVABUPA,Financial Services
NUVAMA,Financial Services
NUVOCO,Construction Materials
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
OLECTRA,Automobile and Auto Components
PAYTM,Financial Services
ONESOURCE,Healthcare
POLICYBZR,Financial Services
PCBL,Chemicals
PGEL,Consumer Durables
PNBHOUSING,Financial Services
PARADEEP,Chemicals
PATANJALI,Fast Moving Consumer Goods
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PHOENIXLTD,Realty
PWL,Consumer Services
PIDILITIND,Chemicals
PINELABS,Financial Services
PIRAMALFIN,Financial Services
PPLPHARMA,Healthcare
POONAWALLA,Financial Services
PFC,Financial Services
POWERGRID,Power
PREMIERENE,Capital Goods
PRESTIGE,Realty
PNB,Financial Services
RRKABEL,Capital Goods
RBLBANK,Financial Services
RECLTD,Financial Services
RITES,Construction
RVNL,Construction
RAILTEL,Telecommunication
RKFORGE,Automobile and Auto Components
REDINGTON,Services
RELIANCE,Oil Gas & Consumable Fuels
SBFC,Financial Services
SBICARD,Financial Services
SBILIFE,Financial Services
SJVN,Power
SRF,Chemicals
SAILIFE,Healthcare
SAMMAANCAP,Financial Services
MOTHERSON,Automobile and Auto Components
SAPPHIRE,Consumer Services
SARDAEN,Metals & Mining
SAREGAMA,Media Entertainment & Publication
SCI,Services
SHRIRAMFIN,Financial Services
SHYAMMETL,Capital Goods
ENRIN,Capital Goods
SIEMENS,Capital Goods
SONACOMS,Automobile and Auto Components
SONATSOFTW,Information Technology
STARHEALTH,Financial Services
SBIN,Financial Services
SAIL,Metals & Mining
SUNPHARMA,Healthcare
SUNTV,Media Entertainment & Publication
SUZLON,Capital Goods
SWANCORP,Chemicals
SWIGGY,Consumer Services
SYNGENE,Healthcare
SYRMA,Capital Goods
TVSMOTOR,Automobile and Auto Components
TATACAP,Financial Services
TATACHEM,Chemicals
TATACOMM,Telecommunication
TCS,Information Technology
TATACONSUM,Fast Moving Consumer Goods
TATAINVEST,Financial Services
TMCV,Capital Goods
TMPV,Automobile and Auto Components
TATAPOWER,Power
TATASTEEL,Metals & Mining
TATATECH,Information Technology
TECHM,Information Technology
TEJASNET,Telecommunication
TENNIND,Automobile and Auto Components
NIACL,Financial Services
TITAGARH,Capital Goods
TITAN,Consumer Durables
TORNTPOWER,Power
TARIL,Capital Goods
TRENT,Consumer Services
TRITURBINE,Capital Goods
UNOMINDA,Automobile and Auto Components
UPL,Chemicals
UNIONBANK,Financial Services
UNITDSPR,Fast Moving Consumer Goods
URBANCO,Consumer Services
USHAMART,Capital Goods
VTL,Textiles
VBL,Fast Moving Consumer Goods
VEDL,Metals & Mining
VMM,Consumer Services
VOLTAS,Consumer Durables
WAAREEENER,Capital Goods
WELCORP,Capital Goods
WELSPUNLIV,Textiles
WIPRO,Information Technology
WOCKPHARMA,Healthcare
ZEEL,Media Entertainment & Publication
ZENTEC,Capital Goods
ZYDUSLIFE,Healthcare
ZYDUSWELL,Fast Moving Consumer Goods
